"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,3,3.36,3.12,3.36,3.26
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,4,3.36,3.18,3.36,3.36
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,5,3.36,3.23,3.36,3.42
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,6,3.36,3.30,3.36,3.66
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,7,3.36,3.26,3.36,3.03
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,8,3.36,3.42,3.36,4.50
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,9,3.36,3.40,3.36,3.24
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,10,3.36,3.38,3.36,3.19
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,11,3.36,3.37,3.36,3.33
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2017,12,3.36,3.35,3.36,3.14
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2018,1,3.39,3.51,3.39,3.51
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2018,2,3.39,3.00,3.39,2.48
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2018,3,3.39,3.21,3.39,3.65
100360,0,"NYC Transit","Employee Lost Time and Restricted Duty Rate ","An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift.  The rate is injuries and illnesses per 100 employees.","Safety Indicators","M","D","-",2,2018,4,3.39,3.12,3.39,2.85
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,1,148244.00,148244.00,155000.00,148420.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,2,148476.00,148476.00,155000.00,140993.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,3,146941.00,146941.00,155000.00,144737.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,4,146277.00,146253.00,155000.00,157804.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,5,144999.00,142961.00,155000.00,133825.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,6,144987.00,141011.00,155000.00,133694.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,7,146516.00,139628.00,155000.00,124910.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,8,149567.00,138836.00,155000.00,117993.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,9,150155.00,136946.00,155000.00,127214.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,10,152392.00,137332.00,155000.00,138127.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,11,152365.00,136064.00,155000.00,140283.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2008,12,155000.00,134795.00,155000.00,121264.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,1,145000.00,133546.00,145000.00,132340.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,2,145000.00,133325.00,145000.00,138178.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,3,145000.00,133711.00,145000.00,150126.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,4,145000.00,133021.00,145000.00,147167.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,5,145000.00,136152.00,145000.00,185485.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,6,145000.00,138972.00,145000.00,175641.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,7,145000.00,139897.00,145000.00,134384.00
67816,0,"NYC Transit","Mean Distance Between Failures - Subways","Average number of miles a subway car travels in service before a mechanical failure that makes the train arrive at its final destination later than 5 minutes ","Service Indicators","M","U","-",0,2009,8,145000.00,139889.00,145000.00,118186.00
